Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",0.24189,226.0486,6.0486,54.67922,66.31591,8.25684,150.0,70.0,26.7172
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",0.30063,229.21996,9.21996,68.91153,58.95252,8.25685,151.0,69.0,30.05435
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",0.2256,248.86573,4.86573,56.14385,102.9198,8.25684,172.0,72.0,17.21514
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",0.25553,252.59096,7.59096,64.54401,78.14923,8.25686,171.0,74.0,22.67184
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",0.33987,254.66684,11.66684,86.55239,76.10746,8.25688,169.0,74.0,23.28018
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",0.26285,280.32709,5.32709,73.68268,134.52739,8.25686,197.0,78.0,13.05454
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",0.24007,268.64747,9.64747,64.49459,77.73302,8.25689,181.0,78.0,22.6589
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",0.32659,273.97446,13.97446,89.47817,78.67421,8.25691,182.0,78.0,22.52087
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.128,224.81651,4.81651,28.77554,52.75642,8.25683,145.0,75.0,33.58396
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.22359,224.00085,6.00085,50.08524,60.76503,8.25684,149.0,69.0,29.15781
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.30029,229.02013,9.02013,68.77271,59.00189,8.25685,151.0,69.0,30.0292
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.22178,245.846,4.846,54.52253,99.95367,8.25684,169.0,72.0,17.726
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.25578,252.37928,7.37928,64.55268,78.20242,8.25686,172.0,73.0,22.65643
