Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",0.31119,275.0658,18.0658,85.59729,43.2432,8.25693,179.0,78.0,40.97332
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.32634,241.07616,2.07616,78.67166,87.75215,8.25684,164.0,75.0,20.19066
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.35859,235.61481,3.61481,84.48829,72.08267,8.25685,160.0,72.0,24.57981
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.46664,238.1204,5.1204,111.11596,64.30038,8.25686,161.0,72.0,27.55477
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.39167,259.96093,2.96093,101.81864,115.19944,8.25685,183.0,74.0,15.38012
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.32289,252.17751,7.17751,81.42435,71.40139,8.25687,171.0,74.0,24.8145
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.41726,261.67755,9.67755,109.18873,64.39772,8.25689,178.0,74.0,27.51337
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.29611,263.8225,5.8225,78.12042,86.45288,8.25687,181.0,77.0,20.31391
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.25788,262.61097,11.61097,67.72195,59.54002,8.2569,174.0,77.0,29.58259
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.29109,271.17335,18.17335,78.93557,46.59512,8.25692,175.0,78.0,38.02574
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",0.31627,236.13094,2.13094,74.68094,83.41229,8.25684,159.0,75.0,21.24116
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",0.35818,235.60663,3.60663,84.38873,72.02321,8.25685,160.0,72.0,24.6001
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",0.46716,238.11112,5.11112,111.23688,64.35079,8.25686,161.0,72.0,27.53318
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",0.39539,258.98126,2.98126,102.39758,115.90724,8.25685,181.0,75.0,15.2862
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",0.29717,255.88558,6.88558,76.04176,66.66262,8.25687,175.0,74.0,26.57846
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",0.39439,261.38077,9.38077,103.08605,60.81623,8.25689,178.0,74.0,29.13364
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",0.29389,263.79157,5.79157,77.52545,85.85119,8.25687,181.0,77.0,20.45628
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",0.25528,263.50173,11.50173,67.26635,59.15832,8.2569,175.0,77.0,29.77345
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",0.28792,271.0397,18.0397,78.03798,46.06544,8.25693,175.0,78.0,38.46299
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.25033,233.98936,1.98936,58.57529,63.4576,8.25683,157.0,75.0,27.92055
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.32687,235.94913,2.94913,77.1246,65.87893,8.25684,162.0,71.0,26.89442
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.47075,238.001,4.001,112.03858,64.76647,8.25685,163.0,71.0,27.35644
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.37159,260.30307,2.30307,96.72527,110.97618,8.25684,184.0,74.0,15.9654
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.31532,254.38217,5.38217,80.21224,69.86768,8.25686,173.0,76.0,25.35919
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.4133,261.55966,7.55966,108.10177,63.42688,8.25688,179.0,75.0,27.93447
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.30323,269.15532,4.15532,81.6166,90.78721,8.25686,187.0,78.0,19.34407
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.26573,265.38134,8.38134,70.51973,61.94656,8.25689,179.0,78.0,28.43331
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.29915,267.28981,14.28981,79.96106,47.33491,8.25692,175.0,78.0,37.43128
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '2', 'scatter']",0.24832,233.95997,1.95997,58.0976,62.87146,8.25683,157.0,75.0,28.18085
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '3', 'scatter']",0.34076,233.96454,2.96454,79.72645,68.09263,8.25684,159.0,72.0,26.02008
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '4', 'scatter']",0.4728,238.99367,3.99367,112.99528,65.32144,8.25685,163.0,72.0,27.12402
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '2', 'scatter']",0.37506,261.29844,2.29844,98.00171,112.39222,8.25684,183.0,76.0,15.76425
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '3', 'scatter']",0.30036,256.13989,5.13989,76.93508,67.26557,8.25686,176.0,75.0,26.34019
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '4', 'scatter']",0.41452,260.15068,7.15068,107.83794,63.5544,8.25688,178.0,75.0,27.87842
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '2', 'scatter']",0.3018,268.16818,4.16818,80.93362,89.94984,8.25686,186.0,78.0,19.52415
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '3', 'scatter']",0.27005,264.37294,8.37294,71.39358,62.73249,8.25689,178.0,78.0,28.07709
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '4', 'scatter']",0.30183,268.16626,14.16626,80.94132,47.88352,8.25692,176.0,78.0,37.00245
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.26453,234.06819,2.06819,61.91805,67.46813,8.25683,157.0,75.0,26.26086
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.30752,236.03328,3.03328,72.58397,62.44858,8.25684,161.0,72.0,28.37175
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.44484,237.1346,4.1346,105.48675,62.10485,8.25685,161.0,72.0,28.52885
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.3433,264.30943,2.30943,90.73849,104.17524,8.25684,187.0,75.0,17.00768
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.31293,261.20582,5.20582,81.73835,71.506,8.25686,180.0,76.0,24.77817
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.4177,266.05682,7.05682,111.13324,66.44791,8.25688,183.0,76.0,26.66444
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.29389,272.08262,4.08262,79.96238,89.59868,8.25686,190.0,78.0,19.60067
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.26923,265.31173,8.31173,71.42899,63.04972,8.25689,178.0,79.0,27.93582
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.30994,267.24297,13.24297,82.82988,50.03428,8.25692,176.0,78.0,35.41197
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '2', 'scatter']",0.25407,231.21477,2.21477,58.74454,63.96302,8.25683,154.0,75.0,27.69993
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '3', 'scatter']",0.31202,234.06253,3.06253,73.0315,62.89101,8.25684,159.0,72.0,28.17216
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '4', 'scatter']",0.44131,236.13477,4.13477,104.2091,61.33447,8.25685,161.0,71.0,28.88718
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '2', 'scatter']",0.35161,264.34466,2.34466,92.94695,106.823,8.25684,187.0,75.0,16.58612
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '3', 'scatter']",0.29757,260.08174,5.08174,77.39135,68.02212,8.25686,180.0,75.0,26.04723
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '4', 'scatter']",0.42491,268.59088,6.59088,114.12611,68.46823,8.25688,186.0,76.0,25.87764
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '2', 'scatter']",0.30018,270.12878,4.12878,81.08618,90.78938,8.25687,188.0,78.0,19.34361
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '3', 'scatter']",0.26846,264.34629,8.34629,70.96683,62.68749,8.25689,178.0,78.0,28.09724
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '4', 'scatter']",0.31158,268.31158,13.31158,83.59945,50.50211,8.25692,177.0,78.0,35.08393
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.25987,236.02823,2.02823,61.33628,66.86106,8.25683,159.0,75.0,26.4993
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.31448,234.064,3.064,73.60778,63.37156,8.25684,159.0,72.0,27.95854
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.44762,238.02242,4.02242,106.54432,63.02398,8.25685,162.0,72.0,28.1128
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.34229,264.3763,2.3763,90.49221,103.98428,8.25684,187.0,75.0,17.03891
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.30258,263.16411,5.16411,79.62805,69.70131,8.25686,182.0,76.0,25.41971
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.43023,268.77361,6.77361,115.63405,69.21883,8.25688,186.0,76.0,25.59702
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.29931,274.0146,4.0146,82.01498,91.8179,8.25686,191.0,79.0,19.12692
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.2616,269.22738,8.22738,70.42861,62.17858,8.25689,181.0,80.0,28.32719
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.30865,271.17992,13.17992,83.69999,50.54412,8.25691,179.0,79.0,35.05463
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '2', 'scatter']",0.26242,236.0513,2.0513,61.94466,67.54789,8.25683,159.0,75.0,26.22985
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '3', 'scatter']",0.32162,234.06143,3.06143,75.2787,64.77739,8.25684,159.0,72.0,27.35177
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '19', '4', 'scatter']",0.45002,237.99889,3.99889,107.10333,63.35591,8.25685,162.0,72.0,27.96551
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '2', 'scatter']",0.35067,262.3795,2.3795,92.00857,105.70621,8.25684,185.0,75.0,16.76135
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '3', 'scatter']",0.29218,262.97759,4.97759,76.83613,67.42603,8.25686,182.0,76.0,26.2775
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '38', '4', 'scatter']",0.42011,268.49048,6.49048,112.79493,68.0204,8.25688,186.0,76.0,26.04801
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '2', 'scatter']",0.29391,274.04118,4.04118,80.54261,90.08158,8.25686,192.0,78.0,19.49559
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '3', 'scatter']",0.26231,268.20864,8.20864,70.35345,62.08677,8.25689,181.0,79.0,28.36908
"['-O2 ', '-opt-prefetch=2 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=3 ', '-unroll ', '', '57', '4', 'scatter']",0.30871,269.18741,13.18741,83.10043,50.18331,8.25691,177.0,79.0,35.30661
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '2', 'scatter']",0.35344,240.25925,2.25925,84.91647,73.24434,8.25683,163.0,75.0,24.18987
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '3', 'scatter']",0.36423,240.80297,3.80297,87.70666,64.90123,8.25684,165.0,72.0,27.29957
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '19', '4', 'scatter']",0.50367,244.43878,5.43878,123.11751,61.83025,8.25685,167.0,72.0,28.65555
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '2', 'scatter']",0.39409,255.823,3.823,100.81691,87.85787,8.25684,178.0,74.0,20.16642
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '3', 'scatter']",0.32045,259.86787,7.86787,83.2748,62.46424,8.25686,176.0,76.0,28.36482
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '38', '4', 'scatter']",0.465,270.51521,9.51521,125.79065,63.30289,8.25688,185.0,76.0,27.98918
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '2', 'scatter']",0.31328,265.63479,6.63479,83.21797,71.40643,8.25686,182.0,77.0,24.59433
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '3', 'scatter']",0.24808,266.96577,12.96577,66.2283,49.68958,8.25689,176.0,78.0,35.4468
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll=0 ', '', '57', '4', 'scatter']",0.31013,274.52278,18.52278,85.13883,43.05032,8.25691,178.0,78.0,41.15661
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'scatter']",0.36442,238.27112,2.27112,86.83102,74.90889,8.25685,161.0,75.0,23.65242
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'scatter']",0.38256,241.80162,3.80162,92.50446,68.40464,8.25686,166.0,72.0,25.90147
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'scatter']",0.5174,244.42155,5.42155,126.46428,63.47072,8.25687,167.0,72.0,27.915
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'scatter']",0.4053,257.74148,3.74148,104.4615,90.81197,8.25686,179.0,75.0,19.51047
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'scatter']",0.29448,264.41111,7.41111,77.86491,58.44493,8.25688,181.0,76.0,30.31559
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'scatter']",0.45346,270.39351,9.39351,122.61316,61.82283,8.2569,185.0,76.0,28.65933
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'scatter']",0.32022,266.66458,6.66458,85.39233,73.18549,8.25688,182.0,78.0,23.99655
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",0.25851,265.89383,12.89383,68.73522,51.5146,8.25691,175.0,78.0,34.19112
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",0.30936,276.92853,17.92853,85.67166,43.26367,8.25693,180.0,79.0,40.95367
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.31769,238.03434,2.03434,75.62082,84.32761,8.25684,161.0,75.0,21.0106
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.3577,235.61874,3.61874,84.2801,71.94194,8.25685,160.0,72.0,24.62789
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.46887,237.11253,5.11253,111.17516,64.32259,8.25686,161.0,71.0,27.54525
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.39995,258.92924,2.92924,103.55898,117.22301,8.25685,182.0,74.0,15.11462
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.30571,254.99674,6.99674,77.9553,68.18064,8.25687,172.0,76.0,25.9867
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.43133,262.10622,10.10622,113.0541,66.40036,8.25689,177.0,75.0,26.68356
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.29624,262.86031,5.86031,77.86972,86.0411,8.25687,180.0,77.0,20.41113
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.25414,262.58795,11.58795,66.73444,58.64527,8.2569,174.0,77.0,30.03392
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.29047,270.10018,18.10018,78.45491,46.30166,8.25693,174.0,78.0,38.2666
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",0.31942,234.12797,2.12797,74.78562,83.56883,8.25684,158.0,74.0,21.20137
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",0.36162,233.61107,3.61107,84.47914,72.07751,8.25685,159.0,71.0,24.58157
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",0.4722,236.11464,5.11464,111.49229,64.48955,8.25686,161.0,70.0,27.47394
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",0.4042,258.98533,2.98533,104.68094,118.52474,8.25685,182.0,74.0,14.94862
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",0.31674,253.00197,7.00197,80.13608,70.23523,8.25687,172.0,74.0,25.22651
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",0.42327,261.66856,9.66856,110.75582,65.33712,8.25689,177.0,75.0,27.11779
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",0.2974,262.87333,5.87333,78.17844,86.40788,8.25687,181.0,76.0,20.32449
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",0.25825,262.5429,11.5429,67.80287,59.59077,8.2569,174.0,77.0,29.55739
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",0.29294,269.08244,18.08244,78.82387,46.55748,8.25693,174.0,77.0,38.05633
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.24666,233.96481,1.96481,57.70867,62.5103,8.25683,157.0,75.0,28.34367
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.32413,236.89441,2.89441,76.78381,65.68601,8.25684,163.0,71.0,26.97341
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.47111,238.00961,4.00961,112.12953,64.79387,8.25685,162.0,72.0,27.34487
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.4005,262.3111,2.3111,105.05477,120.53935,8.25684,186.0,74.0,14.69876
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.29271,260.27844,5.27844,76.18624,66.50299,8.25686,179.0,76.0,26.64223
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.40398,263.63372,7.63372,106.50307,62.49625,8.25688,181.0,75.0,28.35044
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.30429,269.10918,4.10918,81.88732,91.11552,8.25686,188.0,77.0,19.27437
"['-O2 ', '-opt-prefetch=3 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.2679,266.38851,8.38851,71.36676,62.71346,8.25689,179.0,79.0,28.08561
