Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",141.4041,5.4041,20.0363,40.1091,10.7994,146.0,68.0,"[10.70999, 10.98966, 10.77388, 10.69996]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",145.5617,5.5617,27.7515,38.547,10.7991,151.0,70.0,"[11.23779, 11.8716, 11.1537, 10.96513]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",138.593,4.593,9.4288,31.0746,10.8013,119.0,67.0,"[14.0938, 13.93642, 14.01726, 13.98081]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",133.1889,5.1889,15.3478,32.1049,10.8016,120.0,64.0,"[13.27068, 13.56262, 13.63586, 13.77075]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",131.5055,5.5055,21.1299,31.2263,10.8013,122.0,63.0,"[13.73284, 14.04547, 14.03013, 13.96496]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",136.7189,4.7189,10.9105,36.215,10.8008,129.0,66.0,"[11.58809, 11.17315, 12.70056, 12.62619]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",137.2762,5.2762,18.3721,37.7855,10.8006,132.0,66.0,"[11.34227, 11.34137, 11.40302, 12.01628]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",139.469,5.469,25.1895,37.2808,10.8001,134.0,67.0,"[11.38067, 12.00226, 11.76959, 11.58717]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",140.8056,4.8056,12.3476,40.3499,10.8,141.0,68.0,"[10.7106, 10.51793, 10.74228, 10.83095]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",141.3146,5.3146,20.3142,41.0606,10.7996,147.0,68.0,"[10.48143, 10.74741, 10.49925, 10.52963]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",145.462,5.462,27.9641,38.7794,10.7988,151.0,70.0,"[11.0145, 11.72923, 11.04734, 11.16485]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",138.5834,4.5834,9.5355,31.3805,10.7697,119.0,67.0,"[13.6241, 13.44041, 14.02408, 13.98434]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",133.2377,5.2377,15.1626,32.5256,10.7701,120.0,64.0,"[13.18727, 13.24323, 13.38771, 13.32613]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",131.5971,5.5971,21.8906,32.879,10.7698,122.0,63.0,"[13.12266, 13.0322, 13.35063, 13.07463]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",134.7544,4.7544,11.3521,38.4915,10.7691,129.0,65.0,"[11.18168, 11.04442, 11.48325, 11.20105]"
