Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",166.6421,6.6421,24.5145,34.0784,4.3634,165.0,80.0,"[28.65098, 29.17837, 29.0082, 29.28309]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",167.3054,7.3054,44.8952,37.7685,4.3523,173.0,80.0,"[26.4063, 27.42732, 26.40229, 26.3821]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",155.4998,5.4998,6.6219,15.5464,4.3714,126.0,75.0,"[63.0303, 63.02159, 64.13469, 61.70157]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",150.1803,6.1803,15.2397,19.2726,4.4161,129.0,72.0,"[51.13885, 53.45425, 50.11042, 50.5922]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",152.914,6.914,28.5143,22.6567,4.4141,131.0,73.0,"[44.08288, 44.18942, 44.24079, 43.69387]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",159.056,5.056,8.9345,25.7157,4.3461,142.0,77.0,"[38.76478, 38.25401, 37.97885, 37.85613]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",161.7302,5.7302,22.0863,30.2446,4.4152,148.0,78.0,"[32.54797, 32.82074, 32.82165, 32.8335]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",162.2385,6.2385,40.6589,34.0596,4.3559,153.0,78.0,"[29.27284, 29.87256, 29.46393, 29.58781]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",161.1306,5.1306,10.4293,30.9437,4.3725,158.0,78.0,"[30.95304, 32.34616, 31.07069, 31.32989]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",163.6967,5.6967,26.4738,36.4556,4.3676,166.0,79.0,"[26.98649, 27.657, 26.87658, 27.13158]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",166.1615,6.1615,48.4188,40.4619,4.3552,174.0,80.0,"[24.90042, 25.55347, 24.58076, 24.55359]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",151.7765,3.7765,2.8553,18.3061,2.6948,127.0,74.0,"[85.98329, 87.53104, 90.95849, 88.67827]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",152.7108,4.7108,4.0309,21.8648,2.6951,128.0,74.0,"[71.15573, 77.70928, 71.15613, 75.73985]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",155.2654,5.2654,7.5761,26.1105,2.6954,131.0,75.0,"[61.29292, 62.21278, 62.99747, 61.15669]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",159.9173,3.9173,3.2954,29.8642,2.695,143.0,78.0,"[54.39517, 55.92586, 52.86479, 53.3084]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",162.5159,4.5159,5.8124,37.3747,2.6952,151.0,79.0,"[42.41684, 43.28056, 42.79885, 44.63031]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",165.0784,5.0784,10.2726,42.5453,2.6954,156.0,80.0,"[38.15195, 37.853, 37.96235, 38.1379]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",165.9038,3.9038,3.9317,39.6941,2.695,159.0,81.0,"[40.36528, 40.85379, 40.5733, 39.7861]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",168.6004,4.6004,6.9579,45.6381,2.6953,170.0,82.0,"[34.85296, 35.30908, 35.67246, 35.13909]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",169.1466,5.1466,12.0674,51.14,2.6956,176.0,82.0,"[31.20794, 32.56409, 31.35202, 31.43104]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",157.6709,3.6709,2.659,18.9704,2.6948,128.0,77.0,"[83.86086, 86.39728, 86.97038, 83.5657]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",152.2244,4.2244,4.5231,23.6286,2.6952,129.0,74.0,"[68.48525, 70.41992, 68.07793, 66.71591]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",152.7061,4.7061,7.3236,27.718,2.6954,131.0,74.0,"[58.22015, 58.21158, 58.44289, 58.41814]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",161.5163,3.5163,3.2516,32.85,2.6949,143.0,79.0,"[48.82673, 49.71526, 48.76499, 49.50719]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",164.0935,4.0935,5.6448,38.9093,2.6951,149.0,80.0,"[41.25934, 42.74274, 40.49079, 41.80249]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",166.5346,4.5346,9.8466,43.3089,2.6954,153.0,81.0,"[36.93986, 37.66182, 37.98263, 36.83611]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",163.5725,3.5725,3.844,41.8941,2.695,160.0,80.0,"[38.29778, 38.41913, 38.37641, 37.97318]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",168.091,4.091,6.8872,48.9223,2.6952,170.0,82.0,"[32.55309, 33.51372, 32.68513, 32.73318]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",168.6036,4.6036,11.9194,54.263,2.6955,176.0,82.0,"[29.11836, 30.97116, 29.51934, 29.65831]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",157.8322,5.8322,6.5105,15.084,4.372,128.0,76.0,"[66.04365, 65.12245, 64.63114, 63.84538]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",153.117,7.117,14.3423,18.2699,4.4172,129.0,73.0,"[53.48801, 54.35394, 53.57766, 55.19406]"
