Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",140.991,8.991,26.3607,45.2204,7.8198,154.0,66.0,"[18.91915, 19.14523, 18.63014, 18.72506]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",142.8763,8.8763,54.3301,51.084,8.9278,161.0,67.0,"[16.40634, 16.80159, 16.32106, 16.36869]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",133.9061,5.9061,6.5136,21.6745,4.4982,121.0,64.0,"[48.02019, 48.15492, 47.88511, 48.25765]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",129.4224,7.4224,14.351,27.0596,5.2563,122.0,61.0,"[36.47168, 36.44292, 35.77718, 36.34916]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",133.2973,9.2973,30.093,30.9933,6.5043,124.0,62.0,"[29.35633, 29.77033, 29.3187, 29.4697]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",135.9201,7.9201,10.1731,33.6369,6.4077,133.0,64.0,"[26.93155, 26.5625, 26.86997, 26.6707]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",139.0825,9.0825,22.3233,39.5654,7.0582,140.0,65.0,"[22.21796, 22.59364, 22.1379, 22.32985]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",141.5477,9.5477,45.3512,43.7278,7.4705,145.0,66.0,"[19.93328, 20.30008, 19.8007, 19.88034]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",140.4902,8.4902,11.0953,39.6196,6.9882,148.0,66.0,"[21.8391, 22.1134, 21.8044, 21.79065]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",140.9736,8.9736,26.3181,45.3035,7.8225,155.0,66.0,"[18.79492, 18.91491, 18.90129, 18.69484]"
