Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",148.9292,8.9292,26.4388,45.5872,7.8234,157.0,70.0,"[18.67674, 18.72964, 18.67518, 18.7706]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",146.8775,8.8775,54.3187,51.2423,8.9295,164.0,69.0,"[16.40229, 16.80491, 16.23443, 16.28173]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",135.8393,5.8393,6.4274,21.4603,4.5004,122.0,65.0,"[49.14204, 48.01533, 48.97267, 48.1752]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",135.433,7.433,14.4385,27.1322,5.2587,124.0,64.0,"[35.60415, 36.85851, 36.41654, 35.80554]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",137.0216,9.0216,30.2356,31.1997,6.5079,127.0,64.0,"[29.44672, 29.13397, 29.15562, 29.44356]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",140.0204,8.0204,10.1361,33.411,6.4115,135.0,66.0,"[26.91547, 27.14686, 26.72083, 27.02063]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",144.9757,8.9757,22.3076,39.6105,7.0602,142.0,68.0,"[22.77323, 22.15947, 22.1743, 22.10476]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",145.4534,9.4534,45.6229,44.1707,7.4717,147.0,68.0,"[20.14402, 19.63453, 19.94518, 19.41307]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",142.3868,8.3868,11.2304,40.0381,6.9908,150.0,67.0,"[21.57752, 21.74742, 21.52801, 21.80532]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",144.9969,8.9969,26.2983,45.3686,7.8255,157.0,68.0,"[18.62479, 19.1993, 18.78432, 18.6126]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",146.721,8.721,54.7894,51.7363,8.9322,164.0,69.0,"[16.20466, 16.61914, 16.21868, 16.07303]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",138.8753,10.8753,5.7721,19.2791,9.8916,121.0,64.0,"[37.07438, 36.87146, 36.57381, 37.10087]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",136.1949,12.1949,10.1208,22.221,9.739,123.0,62.0,"[29.53242, 29.30845, 28.97434, 28.85467]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",136.9092,12.9092,17.2036,24.3365,9.7282,126.0,62.0,"[25.14416, 24.98235, 25.04088, 24.73967]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",141.8545,11.8545,7.8515,25.5244,9.718,134.0,65.0,"[23.78641, 23.7082, 23.81319, 23.8497]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",143.8363,11.8363,12.4814,31.4426,9.8353,138.0,66.0,"[19.87115, 20.43886, 20.16722, 19.93662]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",143.7513,11.7513,22.4704,32.9495,9.756,143.0,66.0,"[18.07416, 18.242, 18.0481, 17.95673]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",145.3763,11.3763,8.0023,30.9636,9.833,147.0,67.0,"[20.31678, 20.29634, 20.15619, 20.19841]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",146.9022,10.9022,13.895,33.6644,9.7205,154.0,68.0,"[17.17727, 17.48455, 17.49685, 17.29042]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",143.4266,9.4266,22.81,38.3767,9.7878,160.0,67.0,"[15.35938, 15.91919, 15.24525, 15.45342]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",138.7131,10.7131,5.8365,19.4549,9.8918,120.0,64.0,"[36.49519, 36.64205, 36.59673, 36.55579]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",137.9164,11.9164,10.2109,22.3747,9.7388,124.0,63.0,"[28.97594, 28.82863, 29.04916, 29.01214]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",138.9629,12.9629,17.2225,24.5546,9.7286,125.0,63.0,"[24.58827, 24.78091, 24.91787, 24.73675]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",141.8018,11.8018,7.8915,25.5712,9.7178,133.0,65.0,"[23.68466, 23.70545, 23.74009, 23.851]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",143.8536,11.8536,12.5519,31.4967,9.8357,138.0,66.0,"[20.11616, 20.21383, 19.96335, 19.98638]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",143.7382,11.7382,22.5734,33.2517,9.7564,143.0,66.0,"[17.85076, 18.10896, 17.90229, 17.80433]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",145.3345,11.3345,8.0561,31.1562,9.8329,147.0,67.0,"[20.03719, 20.17105, 20.16323, 20.10423]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",144.8487,10.8487,13.9209,33.735,9.7204,153.0,67.0,"[17.33254, 17.61041, 17.17573, 17.18008]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",143.2677,9.2677,22.8624,38.7603,9.788,159.0,67.0,"[15.1192, 15.78433, 15.19709, 15.2647]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",132.0019,6.0019,6.4254,21.5233,4.4992,121.0,63.0,"[48.46878, 48.95943, 48.48288, 47.77661]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",133.3838,7.3838,14.3139,27.1659,5.2565,125.0,63.0,"[36.22049, 36.38605, 35.90022, 35.93809]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",135.17,9.17,30.1885,31.4049,6.5041,127.0,63.0,"[29.1, 29.43296, 28.70131, 29.11346]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",137.8554,7.8554,10.0997,33.8549,6.409,135.0,65.0,"[26.82034, 26.39936, 26.36166, 26.76787]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",142.9405,8.9405,22.4022,40.1673,7.055,142.0,67.0,"[22.0967, 21.92964, 21.92151, 21.96266]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",143.5742,9.5742,45.0285,43.9411,7.4672,146.0,67.0,"[19.82701, 20.091, 19.85753, 19.72753]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",144.4558,8.4558,10.9766,39.7958,6.9876,150.0,68.0,"[21.84657, 21.6571, 21.86142, 21.79608]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",144.9003,8.9003,26.2208,45.5833,7.8198,157.0,68.0,"[18.76597, 18.75419, 18.69902, 18.60047]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",148.7926,8.7926,54.3312,51.5125,8.9255,163.0,70.0,"[16.06332, 16.81851, 16.11554, 16.35208]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'balanced']",137.854,5.854,6.4724,21.8151,4.4995,122.0,66.0,"[47.9088, 47.86181, 46.92466, 48.41334]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'balanced']",133.3666,7.3666,14.298,26.9804,5.2568,125.0,63.0,"[36.03071, 37.13994, 36.09846, 36.17611]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'balanced']",137.3027,9.3027,29.7677,30.9646,6.5051,127.0,64.0,"[29.62915, 29.71178, 29.32062, 29.35729]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'balanced']",141.8511,7.8511,10.1523,33.7311,6.4093,135.0,67.0,"[26.52662, 26.69738, 26.79389, 26.72662]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'balanced']",142.8773,8.8773,22.1914,39.866,7.0566,142.0,67.0,"[22.23799, 22.08351, 22.18879, 22.08472]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'balanced']",145.5151,9.5151,45.4487,44.1738,7.4689,146.0,68.0,"[19.59524, 20.23676, 19.62711, 19.64276]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'balanced']",144.408,8.408,11.0143,40.0122,6.9881,151.0,68.0,"[21.7914, 21.59048, 21.70395, 21.59961]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'balanced']",144.9131,8.9131,26.1684,45.5563,7.8213,157.0,68.0,"[18.72872, 18.71102, 18.65849, 18.78634]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'balanced']",146.7576,8.7576,54.2249,51.6189,8.9277,165.0,69.0,"[16.35123, 16.51453, 16.19613, 16.16904]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",140.7792,10.7792,5.7726,19.2993,9.8877,122.0,65.0,"[36.66463, 36.5287, 37.4997, 36.71613]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",138.0337,12.0337,10.1439,22.3816,9.7335,124.0,63.0,"[28.76269, 29.13113, 28.94082, 28.93209]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",136.9607,12.9607,16.9748,24.305,9.7228,125.0,62.0,"[25.09473, 25.19443, 24.82453, 24.86723]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",141.8524,11.8524,7.7614,25.3625,9.7139,133.0,65.0,"[24.27003, 23.83319, 23.99035, 23.63108]"
"['-O3 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",143.7656,11.7656,12.4133,31.3667,9.829,138.0,66.0,"[20.29976, 20.02952, 20.25916, 19.96845]"
