Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",119.2325,5.2325,0.6383,0.0576,2.2683,100.0,57.0,"[0.7308177, 0.7320147, 0.7516654, 0.8115657]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",117.5165,5.5165,0.8915,0.0576,2.2792,101.0,56.0,"[0.7841716, 0.770554, 0.7191084, 0.7701682]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",116.2583,4.2583,0.3723,0.0751,2.2337,100.0,56.0,"[0.5895983, 0.5163718, 0.5887112, 0.5827134]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",116.8658,4.8658,0.3992,0.0726,2.2342,100.0,56.0,"[0.6366991, 0.5539856, 0.5608226, 0.606006]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",117.0146,5.0146,0.4254,0.0727,2.2347,101.0,56.0,"[0.5624071, 0.5991233, 0.555914, 0.6378124]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",116.6244,4.6244,0.4115,0.0725,2.2344,100.0,56.0,"[0.6038039, 0.5817859, 0.6316533, 0.5434139]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",117.0741,5.0741,0.4515,0.0742,2.2355,116.0,56.0,"[0.5655346, 0.5429688, 0.6089439, 0.5913907]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",117.2351,5.2351,0.5119,0.0746,2.2375,122.0,56.0,"[0.5687163, 0.5293821, 0.6072377, 0.5925533]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",118.8005,4.8005,0.4312,0.0752,2.2353,125.0,57.0,"[0.5752229, 0.5885113, 0.5714459, 0.5437727]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",117.2095,5.2095,0.4351,0.0757,2.2686,103.0,56.0,"[0.5956523, 0.5510728, 0.5854881, 0.5727927]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",119.4128,5.4128,0.4371,0.0579,2.2795,102.0,57.0,"[0.7627179, 0.7513599, 0.7200957, 0.7961312]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",116.2321,4.2321,0.5657,0.0733,2.2469,99.0,56.0,"[0.6004537, 0.5781515, 0.5625534, 0.586819]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",118.767,4.767,0.8035,0.0722,2.2503,100.0,57.0,"[0.6063205, 0.577106, 0.5647958, 0.6181627]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",117.0022,5.0022,1.0435,0.0722,2.2538,100.0,56.0,"[0.6301453, 0.5516215, 0.5669654, 0.6218036]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",118.597,4.597,0.5776,0.0743,2.2537,100.0,57.0,"[0.6098621, 0.5497114, 0.5850709, 0.5607691]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",119.0477,5.0477,0.8211,0.0742,2.2606,123.0,57.0,"[0.5986345, 0.5537728, 0.5880151, 0.5757237]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",119.2289,5.2289,1.1162,0.077,2.2675,123.0,57.0,"[0.5487473, 0.5415198, 0.5951203, 0.5563016]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",118.7834,4.7834,0.6091,0.0791,2.2607,102.0,57.0,"[0.5391315, 0.5256065, 0.5547688, 0.5545385]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",119.241,5.241,0.6572,0.0589,2.2759,100.0,57.0,"[0.76514, 0.747897, 0.806379, 0.6239727]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",117.5177,5.5177,0.8817,0.0567,2.2868,100.0,56.0,"[0.7763403, 0.7733317, 0.759536, 0.7660666]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",116.2511,4.2511,0.4258,0.0738,2.2409,99.0,56.0,"[0.5873188, 0.5227027, 0.5794719, 0.6140467]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",116.7505,4.7505,0.3955,0.0732,2.2413,100.0,56.0,"[0.5575721, 0.566334, 0.6058524, 0.5934044]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",117.0386,5.0386,0.497,0.0756,2.2418,100.0,56.0,"[0.5528692, 0.5539023, 0.557706, 0.5847608]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",118.6223,4.6223,0.4093,0.0736,2.2417,100.0,57.0,"[0.5825072, 0.5338157, 0.5783991, 0.6158611]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",117.0571,5.0571,0.4921,0.0751,2.2425,100.0,56.0,"[0.5491193, 0.5525769, 0.5422936, 0.6219035]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",119.2099,5.2099,0.4861,0.073,2.2435,121.0,57.0,"[0.5721388, 0.5559321, 0.6204598, 0.5847603]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",116.8171,4.8171,0.4229,0.0734,2.2425,121.0,56.0,"[0.5241089, 0.5866821, 0.599319, 0.6098529]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",119.2409,5.2409,0.4634,0.0773,2.2757,102.0,57.0,"[0.6208266, 0.5244292, 0.5204497, 0.5769748]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",119.4756,5.4756,0.4269,0.0562,2.2867,100.0,57.0,"[0.7794543, 0.7618973, 0.7626338, 0.7965926]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",118.2534,4.2534,0.5684,0.0742,2.2469,100.0,57.0,"[0.5770527, 0.5276862, 0.5832713, 0.6098632]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",116.7512,4.7512,0.8028,0.0726,2.2503,100.0,56.0,"[0.5731315, 0.6022469, 0.5772971, 0.6004302]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",118.9904,4.9904,1.0432,0.0722,2.2538,107.0,57.0,"[0.6208807, 0.6116782, 0.5886106, 0.5492299]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",118.6119,4.6119,0.553,0.0709,2.2537,119.0,57.0,"[0.5497972, 0.6107069, 0.6167221, 0.6362914]"
