"timestamp","Total_Power_mic0","CPU_Temp_mic0"
"20:23:58.206063","97.00","52.00"
"20:23:58.706014","97.00","52.00"
"20:23:59.206020","96.00","52.00"
"20:23:59.706015","95.00","53.00"
"20:24:00.206016","94.00","52.00"
"20:24:00.706017","95.00","52.00"
"20:24:01.206026","95.00","52.00"
"20:24:01.706024","95.00","53.00"
"20:24:02.206022","94.00","53.00"
"20:24:02.706023","96.00","53.00"
"20:24:03.206024","97.00","52.00"
"20:24:03.706030","95.00","53.00"
