Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",124.5684,4.5684,0.0954,0.7679,3.4453,131.0,60.0,"[9.498828, 9.555228, 9.412068, 9.620083]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",124.5909,4.5909,0.1202,0.7927,3.4457,112.0,60.0,"[9.385897, 9.369077, 9.350579, 9.112064]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",123.0998,3.0998,0.0669,0.9316,3.4449,104.0,60.0,"[8.115345, 7.548238, 8.088665, 7.919933]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",123.4858,3.4858,0.0859,0.9308,3.4449,105.0,60.0,"[8.160786, 7.676772, 7.894899, 7.966922]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",123.5723,3.5723,0.1209,0.975,3.4451,109.0,60.0,"[7.706881, 7.61912, 7.539122, 7.396936]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",123.2932,3.2932,0.0788,0.9557,3.4449,107.0,60.0,"[7.688397, 7.804736, 7.661691, 7.718654]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",123.7698,3.7698,0.0875,0.7454,3.4451,125.0,60.0,"[10.182, 10.1109, 9.4754, 9.814406]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",126.6348,4.6348,0.1386,0.8498,3.4453,112.0,61.0,"[8.790202, 8.482473, 8.877269, 8.56746]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",123.6827,3.6827,0.0595,0.6761,3.445,104.0,60.0,"[10.86784, 11.1045, 11.03103, 10.25302]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",126.7547,4.7547,0.1047,0.7902,3.4453,128.0,61.0,"[9.389191, 9.441878, 8.946273, 9.394277]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",124.6609,4.6609,0.1212,0.798,3.4457,107.0,60.0,"[8.919964, 9.498641, 9.435702, 9.117952]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",123.0575,3.0575,0.0736,0.925,3.4526,103.0,60.0,"[8.298497, 7.600154, 7.932015, 8.20736]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",121.3446,3.3446,0.0901,0.9377,3.4526,107.0,59.0,"[7.979882, 7.95283, 7.90559, 7.768611]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",121.3715,3.3715,0.112,0.9402,3.4526,105.0,59.0,"[7.99382, 8.049262, 7.72255, 7.75627]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",123.2747,3.2747,0.0746,0.9332,3.4524,107.0,60.0,"[8.04399, 8.112797, 7.878802, 7.722104]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",123.6978,3.6978,0.0735,0.7244,3.4525,118.0,60.0,"[10.80388, 10.24642, 9.903548, 9.960317]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",124.4598,4.4598,0.1351,0.8348,3.4526,125.0,60.0,"[8.755846, 8.774642, 8.938958, 9.034299]"
