Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",140.2993,16.2993,0.3224,3.6954,10.5288,133.0,62.0,"[14.08501, 13.20305, 13.89543, 13.90511]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",130.6448,6.6448,0.4932,4.372,10.5273,144.0,62.0,"[11.80433, 11.83558, 11.48548, 11.71487]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",124.3687,4.3687,0.158,3.6986,10.5362,115.0,60.0,"[13.07214, 13.63522, 13.72565, 14.87388]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",123.3947,3.3947,0.1855,4.1148,10.5338,120.0,60.0,"[12.6784, 12.71799, 12.57589, 11.78374]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",123.7308,3.7308,0.2607,4.3097,10.534,120.0,60.0,"[11.85863, 12.44978, 11.60572, 11.57097]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",125.3264,3.3264,0.1758,4.1796,10.534,130.0,61.0,"[12.49098, 13.23639, 11.62168, 11.61449]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",127.3762,3.3762,0.191,4.389,10.5313,131.0,62.0,"[12.28641, 11.55515, 11.39666, 11.42087]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",127.7472,3.7472,0.2406,4.3536,10.5306,139.0,62.0,"[12.16021, 12.24389, 11.31605, 11.3021]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",129.2639,3.2639,0.1864,4.4623,10.5303,145.0,63.0,"[11.54593, 11.29353, 11.3072, 11.34005]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",129.4356,3.4356,0.1931,4.3032,10.5288,152.0,63.0,"[11.39118, 12.29901, 12.18497, 11.4318]"
