Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",159.7516,3.7516,15.6333,95.021,3.1951,186.0,78.0,"[4.332643, 4.289481, 4.002132, 4.057212]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",162.4247,4.4247,23.3823,103.2914,3.1954,191.0,79.0,"[3.84455, 3.871619, 3.866496, 3.855532]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",150.8115,2.8115,4.3373,32.8175,3.1943,130.0,74.0,"[12.43224, 11.31271, 12.40223, 12.42341]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",145.5152,3.5152,6.4526,40.0107,3.1944,132.0,71.0,"[10.53856, 9.573917, 9.372559, 10.35511]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",146.1695,4.1695,10.3555,46.8659,3.1945,134.0,71.0,"[8.556328, 8.54059, 8.45571, 8.461388]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",150.8629,2.8629,8.3023,62.6624,3.1945,156.0,74.0,"[5.971623, 6.325548, 6.601312, 6.54099]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",153.6378,3.6378,11.6036,71.2447,3.1947,161.0,75.0,"[5.760203, 5.757988, 5.743126, 5.115527]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",156.2628,4.2628,18.5076,82.7552,3.1949,163.0,76.0,"[4.951079, 4.890762, 4.650387, 4.773809]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",156.9726,2.9726,11.3125,84.9788,3.1947,179.0,77.0,"[4.628559, 4.656624, 4.621461, 4.689951]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",159.7565,3.7565,15.6458,95.2231,3.1951,188.0,78.0,"[4.057185, 4.232587, 4.116864, 4.240455]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",162.4395,4.4395,23.3207,102.9768,3.1954,191.0,79.0,"[3.802938, 3.869051, 3.904389, 3.908987]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",150.9293,2.9293,4.1787,31.6084,3.1943,130.0,74.0,"[11.62039, 12.40912, 13.30077, 13.0983]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",145.5845,3.5845,6.238,38.6883,3.1944,131.0,71.0,"[11.00144, 9.715804, 9.756547, 10.72816]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",144.2215,4.2215,10.0797,45.655,3.1945,134.0,70.0,"[8.761892, 8.747194, 8.665881, 8.741226]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",150.9888,2.9888,7.6479,57.766,3.1945,155.0,74.0,"[7.016876, 6.56628, 7.057191, 6.955446]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",153.6356,3.6356,12.238,75.3446,3.1947,160.0,75.0,"[5.283608, 5.271762, 5.289607, 5.314243]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",156.3147,4.3147,18.069,80.9947,3.1949,163.0,76.0,"[4.936084, 4.962295, 4.910394, 4.876044]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",157.0732,3.0732,10.7752,81.0558,3.1947,179.0,77.0,"[4.814691, 4.864231, 4.910255, 4.906318]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",159.827,3.827,15.3425,93.5144,3.1951,187.0,78.0,"[4.207583, 4.251841, 4.246611, 4.244189]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",162.4773,4.4773,22.9806,101.8229,3.1954,191.0,79.0,"[3.866599, 4.047563, 3.89031, 3.856377]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",152.8883,2.8883,4.2092,31.8541,3.1943,130.0,75.0,"[11.59227, 11.60048, 13.44509, 13.40173]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",147.6423,3.6423,6.0803,37.7374,3.1944,131.0,72.0,"[10.916, 10.9943, 9.740937, 10.58883]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",142.2224,4.2224,10.1507,45.9973,3.1945,133.0,69.0,"[8.617359, 8.623833, 8.724267, 8.690861]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",150.9934,2.9934,7.7165,58.3853,3.1945,153.0,74.0,"[6.79716, 6.842592, 7.012826, 6.650499]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",155.7139,3.7139,11.4846,70.5858,3.1947,160.0,76.0,"[5.350696, 6.004538, 5.934686, 5.295781]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",156.3146,4.3146,18.0916,81.0629,3.1949,164.0,76.0,"[4.918828, 4.849274, 4.930556, 4.969575]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",157.0765,3.0765,10.7293,80.7824,3.1947,178.0,77.0,"[4.874453, 4.938256, 4.873248, 4.876658]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",159.8325,3.8325,15.1287,92.3251,3.1951,186.0,78.0,"[4.414978, 4.215569, 4.268588, 4.270488]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",160.4626,4.4626,23.3254,103.3353,3.1954,192.0,78.0,"[3.853849, 3.857091, 3.856566, 3.864135]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",150.7866,2.7866,4.4506,33.7835,3.1943,130.0,74.0,"[12.46407, 10.95147, 10.95043, 12.81585]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",145.5485,3.5485,6.1413,37.9395,3.1944,132.0,71.0,"[10.52507, 10.62302, 10.55599, 10.31108]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",142.1741,4.1741,10.342,46.8366,3.1945,134.0,69.0,"[8.465835, 8.553554, 8.480826, 8.535087]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",150.8655,2.8655,8.1855,61.9052,3.1945,155.0,74.0,"[6.617125, 6.572164, 5.951562, 6.609788]"
