Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",174.9404,8.9404,121.7801,64.2907,7.0488,207.0,83.0,"[8.032625, 8.095512, 7.982089, 8.12238]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",175.1764,9.1764,170.9994,66.4973,7.0432,215.0,83.0,"[7.819075, 8.04473, 7.818323, 7.659176]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",165.9348,7.9348,29.9145,22.2918,6.9929,141.0,79.0,"[23.91733, 22.12647, 24.75015, 22.02712]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",159.2591,9.2591,52.431,27.5437,7.0534,145.0,75.0,"[17.95846, 17.94164, 19.82449, 20.0483]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",160.3417,10.3417,81.5581,31.4829,7.0709,148.0,75.0,"[16.61419, 16.69586, 16.64456, 16.50209]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",163.3552,7.3552,52.8653,39.4646,6.9913,168.0,78.0,"[11.94173, 13.31516, 13.62824, 13.53372]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",168.6939,8.6939,84.8078,44.63,7.0523,177.0,80.0,"[12.52367, 10.81892, 12.03462, 11.3797]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",171.5686,9.5686,135.4384,52.2808,7.0704,185.0,81.0,"[9.986894, 9.890209, 10.00095, 10.13948]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",171.5949,7.5949,71.0472,53.1153,6.9917,194.0,82.0,"[10.30271, 9.095069, 9.072823, 10.1768]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",174.8059,8.8059,122.957,64.6212,7.0506,207.0,83.0,"[8.07368, 7.98229, 8.03547, 8.028228]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",172.4774,8.4774,157.2562,60.9094,7.0682,214.0,82.0,"[8.410615, 8.874913, 8.415065, 8.637806]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",160.9905,6.9905,28.2104,20.5135,6.6951,143.0,77.0,"[24.06762, 23.52709, 24.64707, 23.82111]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",158.0185,8.0185,51.6089,26.1009,6.7033,145.0,75.0,"[18.1827, 20.32119, 19.34382, 17.74462]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",159.5732,9.5732,81.2566,30.3236,6.7077,149.0,75.0,"[16.23951, 16.39052, 15.98969, 16.48892]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",162.8539,6.8539,52.1262,38.0981,6.6983,167.0,78.0,"[12.28652, 13.1767, 12.84279, 13.44371]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",169.9748,7.9748,95.4624,48.376,6.7027,181.0,81.0,"[10.08673, 10.36304, 10.17724, 10.15478]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",171.1095,9.1095,141.6675,52.74,6.7062,186.0,81.0,"[9.345613, 9.262976, 9.280661, 9.537913]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",168.7873,6.7873,69.6016,50.8066,6.6954,195.0,81.0,"[9.567461, 9.468156, 9.702724, 9.745944]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",174.3338,8.3338,125.3953,63.6762,6.704,208.0,83.0,"[7.843553, 7.807503, 7.562395, 7.575285]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",174.7042,8.7042,172.2648,64.3906,6.7052,220.0,83.0,"[7.619337, 7.80057, 7.590985, 7.640088]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",164.9885,6.9885,29.3525,21.2878,6.6951,143.0,79.0,"[21.49761, 23.79285, 22.44138, 24.83658]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",158.4039,8.4039,50.4226,25.4306,6.7054,147.0,75.0,"[19.39504, 18.15423, 19.39549, 20.66352]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",159.5727,9.5727,80.5892,29.9552,6.7074,150.0,75.0,"[16.48403, 16.42134, 16.51947, 16.48148]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",164.8826,6.8826,53.8472,39.1681,6.6965,167.0,79.0,"[13.56625, 12.95796, 11.91355, 11.88399]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",167.5572,7.5572,83.6242,42.2685,6.7038,172.0,80.0,"[11.4123, 12.03269, 11.405, 11.83255]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",170.9516,8.9516,137.1082,50.9834,6.7065,186.0,81.0,"[9.691034, 9.676757, 9.678302, 9.672588]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",168.9281,6.9281,69.5387,50.5748,6.6974,196.0,81.0,"[9.700153, 9.293822, 9.956335, 9.72495]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",174.3922,8.3922,126.4786,63.8345,6.7012,212.0,83.0,"[7.855361, 7.607915, 7.430493, 7.847371]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'balanced']",172.1017,8.1017,155.9876,58.1849,6.706,215.0,82.0,"[8.399857, 8.423578, 8.641566, 8.459199]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'scatter']",161.0506,7.0506,28.116,20.4953,6.7057,144.0,77.0,"[24.60976, 23.26022, 23.81612, 24.6175]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'scatter']",158.1834,8.1834,51.5896,26.1341,6.7033,147.0,75.0,"[19.81909, 20.0686, 17.51294, 18.09691]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'scatter']",157.5601,9.5601,81.3214,30.3574,6.7075,149.0,74.0,"[15.99473, 16.2978, 16.28912, 16.45383]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'scatter']",162.9129,6.9129,51.6877,37.7901,6.6977,166.0,78.0,"[13.03926, 12.72105, 13.0908, 13.31678]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",165.9469,7.9469,95.262,48.2768,6.7028,179.0,79.0,"[10.18956, 10.31587, 10.18363, 10.17787]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",171.1064,9.1064,141.4111,52.6549,6.7065,186.0,81.0,"[9.490399, 9.28018, 9.372926, 9.346712]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",168.8007,6.8007,72.5915,53.0075,6.696,196.0,81.0,"[9.351, 9.287448, 9.544112, 8.707917]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",172.3776,8.3776,125.5595,63.7628,6.7036,208.0,82.0,"[7.64021, 7.784578, 7.554438, 7.766241]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",174.698,8.698,172.5219,64.5275,6.7052,212.0,83.0,"[7.582198, 7.798336, 7.628083, 7.578449]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'balanced']",163.2688,7.2688,28.9175,20.9823,6.6959,144.0,78.0,"[24.67991, 21.44572, 24.65192, 23.15205]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'balanced']",156.3974,8.3974,54.4952,27.5416,6.7053,145.0,74.0,"[18.01476, 18.15372, 17.66589, 17.82603]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'balanced']",157.5731,9.5731,80.1075,29.7727,6.7059,149.0,74.0,"[16.69552, 16.58686, 16.53446, 16.4799]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'balanced']",160.8733,6.8733,53.2343,38.7064,6.696,167.0,77.0,"[11.57208, 13.33474, 12.92434, 13.08855]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'balanced']",165.9738,7.9738,92.1643,46.5854,6.7002,179.0,79.0,"[10.56849, 10.59038, 10.56028, 10.61562]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'balanced']",168.9583,8.9583,136.5793,50.784,6.7063,187.0,80.0,"[9.711667, 9.71558, 9.733423, 9.70949]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'balanced']",166.8467,6.8467,70.7182,51.4528,6.6972,196.0,80.0,"[8.871185, 9.456301, 9.724388, 9.962832]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'balanced']",172.3298,8.3298,124.749,62.956,6.7006,207.0,82.0,"[7.889926, 7.776201, 7.816275, 7.685468]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'balanced']",174.0846,8.0846,155.7472,58.0977,6.7062,212.0,83.0,"[8.426489, 8.649952, 8.450453, 8.45009]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",161.1589,7.1589,28.7742,20.7434,6.6939,143.0,77.0,"[25.68997, 23.61659, 22.11489, 23.55923]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",156.1726,8.1726,49.1698,24.7153,6.6939,144.0,74.0,"[18.31816, 20.62182, 20.53229, 20.24543]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",157.7763,9.7763,79.583,29.5631,6.6939,148.0,74.0,"[16.62312, 16.73989, 16.62118, 16.66181]"
