Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",166.4223,4.4223,31.148,22.9676,2.5709,166.0,81.0,"[15.58226, 15.62969, 15.61721, 15.52426]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",168.9769,4.9769,41.7305,22.1552,2.571,171.0,82.0,"[16.19116, 17.08757, 16.12138, 16.30128]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",159.2337,3.2337,14.5704,14.6499,2.5564,131.0,78.0,"[26.7438, 23.73674, 24.29348, 23.82567]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",151.4659,3.4659,18.6109,11.8207,2.57,130.0,74.0,"[29.45071, 32.40793, 31.644, 29.54175]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",153.0738,5.0738,43.0025,17.3471,2.5733,131.0,74.0,"[20.9298, 21.0055, 21.00737, 21.04504]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",155.4096,3.4096,23.554,23.5765,2.5739,146.0,76.0,"[15.46927, 15.60924, 15.40427, 15.32786]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",158.5315,4.5315,33.37,20.2926,2.5737,149.0,77.0,"[18.55576, 18.52657, 17.47116, 17.2539]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",161.2295,5.2295,43.1775,17.3529,2.5733,150.0,78.0,"[20.89814, 21.07906, 20.90995, 21.07367]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",161.8006,3.8006,23.5265,23.5392,2.5739,161.0,79.0,"[16.0062, 15.20484, 14.87989, 15.81816]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",166.786,4.786,32.0112,19.7961,2.5737,164.0,81.0,"[18.81729, 17.64178, 18.66068, 18.48968]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",169.2875,5.2875,43.6067,17.3947,2.5734,169.0,82.0,"[20.8623, 20.98278, 20.90245, 21.01359]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",157.2791,3.2791,13.6457,14.5648,2.6246,130.0,77.0,"[24.39982, 24.33822, 25.84713, 27.23756]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",151.7038,3.7038,20.7987,13.1858,2.6379,131.0,74.0,"[30.63008, 27.72878, 27.40374, 27.45681]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",153.0356,5.0356,42.5181,18.3229,2.6407,132.0,74.0,"[20.20468, 20.5575, 20.35498, 20.48099]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",155.5508,3.5508,22.7033,24.283,2.6407,146.0,76.0,"[15.17786, 14.77596, 16.02079, 15.59559]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",158.3092,4.3092,33.7954,23.5613,2.6397,151.0,77.0,"[16.02119, 15.54553, 16.07836, 15.78794]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",160.9604,4.9604,43.9934,22.3868,2.6397,152.0,78.0,"[16.72158, 16.73816, 16.61728, 16.68434]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",163.7177,3.7177,21.1112,24.7672,2.6392,161.0,80.0,"[15.04681, 14.33405, 14.9737, 15.00677]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",168.4314,4.4314,30.9648,23.3799,2.6391,167.0,82.0,"[15.73029, 15.9362, 15.65618, 15.5583]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",168.9733,4.9733,40.9912,22.3073,2.6392,172.0,82.0,"[16.58342, 17.41072, 16.53116, 16.46165]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",161.1571,3.1571,13.932,14.3196,2.6247,130.0,79.0,"[26.85089, 25.58681, 26.90144, 24.23231]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",153.5996,3.5996,18.912,12.3454,2.6383,129.0,75.0,"[29.51585, 29.51842, 29.36018, 32.55421]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",151.0426,5.0426,42.9732,17.7446,2.6418,131.0,73.0,"[21.01529, 21.13226, 21.14346, 21.00273]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'balanced']",153.4734,3.4734,23.5428,24.192,2.6419,145.0,75.0,"[15.4873, 15.59318, 14.78408, 15.96609]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'balanced']",156.57,4.57,33.4775,20.8406,2.6419,149.0,76.0,"[19.03634, 17.51709, 17.60501, 17.61467]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'balanced']",159.2119,5.2119,43.0671,17.6716,2.6416,150.0,77.0,"[21.05418, 21.18129, 21.02803, 21.3714]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'balanced']",161.8686,3.8686,23.3556,23.9723,2.642,161.0,79.0,"[15.63074, 14.95585, 15.86877, 15.9432]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'balanced']",166.7473,4.7473,33.3416,20.7349,2.642,164.0,81.0,"[17.61893, 19.0963, 17.71234, 17.71496]"
