Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'scatter']",181.8814,17.8814,9.3899,10.3712,3.0658,178.0,82.0,"[24.69514, 25.63104, 25.19742, 24.67718]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'scatter']",183.3937,17.3937,18.9976,13.4183,3.0645,183.0,83.0,"[19.67124, 20.76954, 19.39786, 19.65834]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '2', 'balanced']",180.1206,22.1206,1.9817,2.3217,3.0671,131.0,79.0,"[103.734, 103.8214, 114.122, 106.4203]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '3', 'balanced']",171.9158,25.9158,3.1883,3.4458,3.0666,128.0,73.0,"[73.91012, 72.09186, 73.07694, 71.43721]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '19', '4', 'balanced']",172.854,26.854,6.6384,4.5735,3.0664,134.0,73.0,"[55.37455, 55.28609, 55.04325, 54.79479]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '2', 'balanced']",166.2467,16.2467,4.0599,4.8556,3.0667,138.0,75.0,"[51.40775, 53.58692, 52.91674, 49.79196]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '3', 'balanced']",173.9825,21.9825,6.4034,7.0343,3.066,153.0,76.0,"[38.63766, 35.24437, 35.074, 36.47678]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '38', '4', 'balanced']",176.7515,22.7515,13.521,9.4388,3.0657,148.0,77.0,"[27.51573, 27.33715, 27.51616, 27.58021]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '2', 'balanced']",176.7279,16.7279,6.1021,7.3369,3.0662,156.0,80.0,"[33.5946, 35.20576, 34.9022, 34.46288]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '3', 'balanced']",183.4261,19.4261,9.4073,10.4229,3.0658,177.0,82.0,"[24.75494, 24.75385, 24.93425, 25.21748]"
